index,date,pres,link,exec
0,18260711,JQA,http://www.presidency.ucsb.edu/ws/index.php?pid=66658,
1,18280228,JQA,http://www.presidency.ucsb.edu/ws/index.php?pid=66574,
2,18290408,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67088,
3,18300612,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67089,
4,18310806,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67090,
5,18340621,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67091,
6,18360807,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67092,
7,18370215,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67093,
8,18370218,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67094,
9,18370307,MVB,http://www.presidency.ucsb.edu/ws/index.php?pid=67311,
10,18400331,MVB,http://www.presidency.ucsb.edu/ws/index.php?pid=67312,
11,18410705,JT,http://www.presidency.ucsb.edu/ws/index.php?pid=67565,
12,18440229,JT,http://www.presidency.ucsb.edu/ws/index.php?pid=67566,
13,18450616,JKP,http://www.presidency.ucsb.edu/ws/index.php?pid=67866,
14,18470323,JKP,http://www.presidency.ucsb.edu/ws/index.php?pid=67962,
15,18480224,JKP,http://www.presidency.ucsb.edu/ws/index.php?pid=67983,
16,18490619,ZT,http://www.presidency.ucsb.edu/ws/index.php?pid=68060,
17,18500710,MF,http://www.presidency.ucsb.edu/ws/index.php?pid=68111,
18,18520517,MF,http://www.presidency.ucsb.edu/ws/index.php?pid=68212,
19,18520629,MF,http://www.presidency.ucsb.edu/ws/index.php?pid=68224,
20,18520913,MF,http://www.presidency.ucsb.edu/ws/index.php?pid=68246,
21,18521025,MF,http://www.presidency.ucsb.edu/ws/index.php?pid=68247,
22,18530323,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67787,
23,18530420,FP,http://www.presidency.ucsb.edu/ws/index.php?pid=67821,
24,18590308,JB,http://www.presidency.ucsb.edu/ws/index.php?pid=68376,
25,18610425,AL,http://www.presidency.ucsb.edu/ws/index.php?pid=70145,
