index,date,pres,link,exec
0,17891003,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65502,
1,17900814,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65565,
2,17900826,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65566,
3,17910124,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65589,
4,17910319,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65590,
5,17910330,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65591,
6,17920915,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65427,
7,17921212,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65443,
8,17930422,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65475,
9,17940324,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65476,
10,17940807,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65477,
11,17940925,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65478,
12,17950101,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65500,
13,17950710,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65501,
14,17970301,GW,http://www.presidency.ucsb.edu/ws/index.php?pid=65538,
15,17970325,JA,http://www.presidency.ucsb.edu/ws/index.php?pid=65625,
16,17970722,JA,http://www.presidency.ucsb.edu/ws/index.php?pid=65627,
17,17980323,JA,http://www.presidency.ucsb.edu/ws/index.php?pid=65661,
18,17980713,JA,http://www.presidency.ucsb.edu/ws/index.php?pid=65662,
19,17980716,JA,http://www.presidency.ucsb.edu/ws/index.php?pid=67079,
20,17990306,JA,http://www.presidency.ucsb.edu/ws/index.php?pid=65675,
21,17990312,JA,http://www.presidency.ucsb.edu/ws/index.php?pid=65676,
22,17990626,JA,http://www.presidency.ucsb.edu/ws/index.php?pid=65677,
23,17990701,JA,http://www.presidency.ucsb.edu/ws/index.php?pid=67080,
24,18000509,JA,http://www.presidency.ucsb.edu/ws/index.php?pid=65690,
25,18000521,JA,http://www.presidency.ucsb.edu/ws/index.php?pid=65692,
26,18000906,JA,http://www.presidency.ucsb.edu/ws/index.php?pid=65693,
27,18010130,JA,http://www.presidency.ucsb.edu/ws/index.php?pid=65705,
28,18010311,TJ,http://www.presidency.ucsb.edu/ws/index.php?pid=65809,
29,18030716,TJ,http://www.presidency.ucsb.edu/ws/index.php?pid=65828,
30,18040520,TJ,http://www.presidency.ucsb.edu/ws/index.php?pid=65849,
31,18060503,TJ,http://www.presidency.ucsb.edu/ws/index.php?pid=65715,
32,18061127,TJ,http://www.presidency.ucsb.edu/ws/index.php?pid=65716,
33,18070702,TJ,http://www.presidency.ucsb.edu/ws/index.php?pid=65733,
34,18070730,TJ,http://www.presidency.ucsb.edu/ws/index.php?pid=65734,
35,18071015,TJ,http://www.presidency.ucsb.edu/ws/index.php?pid=65735,
36,18080419,TJ,http://www.presidency.ucsb.edu/ws/index.php?pid=65776,
37,18081230,TJ,http://www.presidency.ucsb.edu/ws/index.php?pid=65793,
38,18090419,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65986,
39,18090809,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65885,
40,18101027,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65912,
41,18101102,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65913,
42,18110724,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65923,
43,18120207,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65941,
44,18120619,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65943,
45,18120709,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65944,
46,18121008,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65945,
47,18130723,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65959,
48,18140617,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65965,
49,18140629,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65966,
50,18140808,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65967,
51,18140901,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65968,
52,18141116,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65981,
53,18150206,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65982,
54,18150218,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65983,
55,18150304,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65984,
56,18150901,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65985,
57,18151212,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65888,
58,18160501,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65889,
59,18170101,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=65900,
60,18170415,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66454,
61,18180423,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66464,
62,18180428,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66466,
63,18180704,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66467,
64,18180724,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66468,
65,18180801,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66469,
66,18200504,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66515,
67,18210710,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66271,
68,18210810,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66272,
69,18210820,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66273,
70,18211122,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66274,
71,18220624,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66324,
72,18220824,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66325,
73,18250119,JM,http://www.presidency.ucsb.edu/ws/index.php?pid=66264,
74,18270317,JQA,http://www.presidency.ucsb.edu/ws/index.php?pid=66694,
75,18270607,JQA,http://www.presidency.ucsb.edu/ws/index.php?pid=66695,
76,18270910,JQA,http://www.presidency.ucsb.edu/ws/index.php?pid=66696,
77,18280701,JQA,http://www.presidency.ucsb.edu/ws/index.php?pid=66573,
78,18290112,JQA,http://www.presidency.ucsb.edu/ws/index.php?pid=66613,
79,18290511,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67071,
80,18290603,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67072,
81,18300306,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67073,
82,18300605,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67074,
83,18300918,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67075,
84,18301005,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67076,
85,18310210,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67077,
86,18321210,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67078,
87,18350428,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67081,
88,18360901,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67082,
89,18361220,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=67083,
